====== Generated with Barcode Script Analysis ======



AAV1_cDNA				***

Organs	M1	Average	Standard_deviation	****	****	****	****	
Eye	0.021943504247971122	0.021943504247971122	0.0	***	***	***	***	
Du	0.0013982409779536048	0.0013982409779536048	0.0	***	***	***	***	
C	0.00045713332138327213	0.00045713332138327213	0.0	***	***	***	***	

AAV5_cDNA				***

Organs	M1	Average	Standard_deviation	****	****	****	****	
BlC	0.7569267716366412	0.7569267716366412	0.0	***	***	***	***	
At	0.22169918693222881	0.22169918693222881	0.0	***	***	***	***	
Du	0.01145880721522975	0.01145880721522975	0.0	***	***	***	***	
Eye	0.008178254244214301	0.008178254244214301	0.0	***	***	***	***	
Aa	0.0017330414918231326	0.0017330414918231326	0.0	***	***	***	***	
C	3.9384798627148124e-06	3.9384798627148124e-06	0.0	***	***	***	***	
Di	0.0	0.0	0.0	***	***	***	***	
FatB	0.0	0.0	0.0	***	***	***	***	
B	0.0	0.0	0.0	***	***	***	***	

AAV6_cDNA				***

Organs	M1	Average	Standard_deviation	****	****	****	****	
BlC	0.9327155581941409	0.9327155581941409	0.0	***	***	***	***	
Di	0.030922521413518266	0.030922521413518266	0.0	***	***	***	***	
C	0.019992265842959055	0.019992265842959055	0.0	***	***	***	***	
Du	0.014030659232796474	0.014030659232796474	0.0	***	***	***	***	
At	0.0015775108887639514	0.0015775108887639514	0.0	***	***	***	***	
Aa	0.000749306423461075	0.000749306423461075	0.0	***	***	***	***	
FatB	1.0418805053002117e-05	1.0418805053002117e-05	0.0	***	***	***	***	
Eye	1.7591993073268047e-06	1.7591993073268047e-06	0.0	***	***	***	***	
B	0.0	0.0	0.0	***	***	***	***	

AAV7_cDNA				***

Organs	M1	Average	Standard_deviation	****	****	****	****	
BlC	0.24193012733581631	0.24193012733581631	0.0	***	***	***	***	
B	0.21112208181234574	0.21112208181234574	0.0	***	***	***	***	
Di	0.1309332307584352	0.1309332307584352	0.0	***	***	***	***	
Aa	0.12660169007195923	0.12660169007195923	0.0	***	***	***	***	
FatB	0.11379850995436316	0.11379850995436316	0.0	***	***	***	***	
Du	0.11209212564550834	0.11209212564550834	0.0	***	***	***	***	
C	0.04540839574726387	0.04540839574726387	0.0	***	***	***	***	
At	0.01673896108595223	0.01673896108595223	0.0	***	***	***	***	
Eye	0.0013748775883559862	0.0013748775883559862	0.0	***	***	***	***	

AAV8_cDNA				***

Organs	M1	Average	Standard_deviation	****	****	****	****	
FatB	0.3626382225328955	0.3626382225328955	0.0	***	***	***	***	
Di	0.16101504948535297	0.16101504948535297	0.0	***	***	***	***	
B	0.1413508064841988	0.1413508064841988	0.0	***	***	***	***	
Aa	0.13267076573599837	0.13267076573599837	0.0	***	***	***	***	
BlC	0.11208566868665171	0.11208566868665171	0.0	***	***	***	***	
Du	0.05482316282806513	0.05482316282806513	0.0	***	***	***	***	
C	0.018601719987591234	0.018601719987591234	0.0	***	***	***	***	
At	0.015427446340451215	0.015427446340451215	0.0	***	***	***	***	
Eye	0.001387157918795078	0.001387157918795078	0.0	***	***	***	***	

AAV9_cDNA				***

Organs	M1	Average	Standard_deviation	****	****	****	****	
BlC	0.4714994642284503	0.4714994642284503	0.0	***	***	***	***	
FatB	0.32105390471793444	0.32105390471793444	0.0	***	***	***	***	
B	0.08122592157453595	0.08122592157453595	0.0	***	***	***	***	
Di	0.06413633096540042	0.06413633096540042	0.0	***	***	***	***	
Aa	0.034223334719875605	0.034223334719875605	0.0	***	***	***	***	
Du	0.013067947954072545	0.013067947954072545	0.0	***	***	***	***	
C	0.0108348682646648	0.0108348682646648	0.0	***	***	***	***	
At	0.003442346187489743	0.003442346187489743	0.0	***	***	***	***	
Eye	0.0005158813875764078	0.0005158813875764078	0.0	***	***	***	***	
