====== Generated with Barcode Script Analysis ======



Aa_cDNA	  	  	  	  ***

Variants	M1	Average	Standard_deviation	***	***	***	***	
AAV1	0.0006618112368686121	0.0006618112368686121	0.0	***	***	***	***	
AAV7	0.0005705002173765815	0.0005705002173765815	0.0	***	***	***	***	
AAV8	0.0002184330551305093	0.0002184330551305093	0.0	***	***	***	***	
AAV9	0.00012069043095724318	0.00012069043095724318	0.0	***	***	***	***	
AAV6	9.982094641185559e-05	9.982094641185559e-05	0.0	***	***	***	***	
AAV2	5.198358735289281e-05	5.198358735289281e-05	0.0	***	***	***	***	
AAV5	2.422544118675327e-05	2.422544118675327e-05	0.0	***	***	***	***	

Eye_cDNA	  	  	  	  ***

Variants	M1	Average	Standard_deviation	***	***	***	***	
AAV4	0.99999737416374	0.99999737416374	0.0	***	***	***	***	
AAV5	1.1096595568867558e-06	1.1096595568867558e-06	0.0	***	***	***	***	
AAV7	4.490985055858924e-07	4.490985055858924e-07	0.0	***	***	***	***	
AAV1	4.0577980893439684e-07	4.0577980893439684e-07	0.0	***	***	***	***	
AAV8	3.5471295191989794e-07	3.5471295191989794e-07	0.0	***	***	***	***	
AAV9	3.057821776340236e-07	3.057821776340236e-07	0.0	***	***	***	***	
AAV6	8.032588507308815e-10	8.032588507308815e-10	0.0	***	***	***	***	
AAV2	0.0	0.0	0.0	***	***	***	***	
AAV3	0.0	0.0	0.0	***	***	***	***	

FatB_cDNA	  	  	  	  ***

Variants	M1	Average	Standard_deviation	***	***	***	***	
AAV4	0.9999016649896031	0.9999016649896031	0.0	***	***	***	***	
AAV9	5.8440776571225724e-05	5.8440776571225724e-05	0.0	***	***	***	***	
AAV8	2.847740623485283e-05	2.847740623485283e-05	0.0	***	***	***	***	
AAV7	1.1415366645275028e-05	1.1415366645275028e-05	0.0	***	***	***	***	
AAV6	1.460945780138569e-09	1.460945780138569e-09	0.0	***	***	***	***	
AAV1	0.0	0.0	0.0	***	***	***	***	
AAV2	0.0	0.0	0.0	***	***	***	***	
AAV3	0.0	0.0	0.0	***	***	***	***	
AAV5	0.0	0.0	0.0	***	***	***	***	
